Month,#Passengers
1949-01-01,112.0
1949-02-01,118.0
1949-03-01,132.0
1949-04-01,129.0
1949-05-01,121.0
1949-06-01,135.0
1949-07-01,148.0
1949-08-01,148.0
1949-09-01,136.0
1949-10-01,119.0
1949-11-01,104.0
1949-12-01,118.0
1950-01-01,115.0
1950-02-01,126.0
1950-03-01,141.0
1950-04-01,135.0
1950-05-01,125.0
1950-06-01,149.0
1950-07-01,170.0
1950-08-01,170.0
1950-09-01,158.0
1950-10-01,133.0
1950-11-01,114.0
1950-12-01,140.0
1951-01-01,145.0
1951-02-01,150.0
1951-03-01,178.0
1951-04-01,163.0
1951-05-01,172.0
1951-06-01,178.0
1951-07-01,199.0
1951-08-01,199.0
1951-09-01,184.0
1951-10-01,162.0
1951-11-01,146.0
1951-12-01,166.0
1952-01-01,171.0
1952-02-01,180.0
1952-03-01,193.0
1952-04-01,181.0
1952-05-01,183.0
1952-06-01,218.0
1952-07-01,230.0
1952-08-01,242.0
1952-09-01,209.0
1952-10-01,191.0
1952-11-01,172.0
1952-12-01,194.0
1953-01-01,196.0
1953-02-01,196.0
1953-03-01,236.0
1953-04-01,235.0
1953-05-01,229.0
1953-06-01,243.0
1953-07-01,264.0
1953-08-01,272.0
1953-09-01,237.0
1953-10-01,211.0
1953-11-01,180.0
1953-12-01,201.0
1954-01-01,204.0
1954-02-01,188.0
1954-03-01,235.0
1954-04-01,227.0
1954-05-01,234.0
1954-06-01,264.0
1954-07-01,302.0
1954-08-01,293.0
1954-09-01,259.0
1954-10-01,229.0
1954-11-01,203.0
1954-12-01,229.0
1955-01-01,242.0
1955-02-01,233.0
1955-03-01,267.0
1955-04-01,269.0
1955-05-01,270.0
1955-06-01,315.0
1955-07-01,364.0
1955-08-01,347.0
1955-09-01,312.0
1955-10-01,274.0
1955-11-01,237.0
1955-12-01,278.0
1956-01-01,284.0
1956-02-01,277.0
1956-03-01,317.0
1956-04-01,313.0
1956-05-01,318.0
1956-06-01,374.0
1956-07-01,413.0
1956-08-01,405.0
1956-09-01,355.0
1956-10-01,306.0
1956-11-01,271.0
1956-12-01,306.0
1957-01-01,315.0
1957-02-01,301.0
1957-03-01,356.0
1957-04-01,348.0
1957-05-01,355.0
1957-06-01,422.0
1957-07-01,465.0
1957-08-01,467.0
1957-09-01,404.0
1957-10-01,347.0
1957-11-01,305.0
1957-12-01,336.0
1958-01-01,340.0
1958-02-01,318.0
1958-03-01,362.0
1958-04-01,348.0
1958-05-01,363.0
1958-06-01,435.0
1958-07-01,491.0
1958-08-01,505.0
1958-09-01,404.0
1958-10-01,359.0
1958-11-01,310.0
1958-12-01,337.0
1959-01-01,360.0
1959-02-01,342.0
1959-03-01,406.0
1959-04-01,396.0
1959-05-01,420.0
1959-06-01,472.0
1959-07-01,548.0
1959-08-01,559.0
1959-09-01,463.0
1959-10-01,407.0
1959-11-01,362.0
1959-12-01,405.0
1960-01-01,417.0
1960-02-01,391.0
1960-03-01,419.0
1960-04-01,461.0
1960-05-01,472.0
1960-06-01,535.0
1960-07-01,622.0
1960-08-01,606.0
1960-09-01,508.0
1960-10-01,461.0
1960-11-01,390.0
1960-12-01,432.0
1960-12-31,451.5778637820711
1961-01-31,427.2585034675599
1961-02-28,464.6997265298656
1961-03-31,500.10432073776
1961-04-30,508.66205274150605
1961-05-31,567.7153520252217
1961-06-30,647.8990506518295
1961-07-31,632.4628853659624
1961-08-31,534.3764221227657
1961-09-30,484.9333656039423
1961-10-31,418.46185001514243
1961-11-30,471.062268301673
1961-12-31,482.7167509578678
1962-01-31,458.3973906433567
1962-02-28,495.83861370566234
1962-03-31,531.2432079135567
1962-04-30,539.8009399173028
1962-05-31,598.8542392010185
1962-06-30,679.0379378276263
1962-07-31,663.6017725417591
1962-08-31,565.5153092985624
1962-09-30,516.0722527797392
1962-10-31,449.6007371909392
1962-11-30,502.20115547746974
1962-12-31,513.8556381336646
1963-01-31,489.53627781915344
1963-02-28,526.9775008814592
1963-03-31,562.3820950893536
1963-04-30,570.9398270930996
1963-05-31,629.9931263768152
1963-06-30,710.176825003423
1963-07-31,694.7406597175559
1963-08-31,596.6541964743592
1963-09-30,547.2111399555359
1963-10-31,480.73962436673594
1963-11-30,533.3400426532666
1963-12-31,544.9945253094614
1964-01-31,520.6751649949501
1964-02-29,558.1163880572559
1964-03-31,593.5209822651503
1964-04-30,602.0787142688963
1964-05-31,661.132013552612
1964-06-30,741.3157121792199
1964-07-31,725.8795468933527
1964-08-31,627.793083650156
1964-09-30,578.3500271313327
1964-10-31,511.8785115425327
1964-11-30,564.4789298290633
1964-12-31,576.1334124852582
1965-01-31,551.8140521707469
1965-02-28,589.2552752330527
1965-03-31,624.6598694409471
1965-04-30,633.2176014446931
1965-05-31,692.2709007284087
1965-06-30,772.4545993550166
1965-07-31,757.0184340691494
1965-08-31,658.9319708259527
1965-09-30,609.4889143071294
1965-10-31,543.0173987183294
1965-11-30,595.6178170048601
1965-12-31,607.272299661055
1966-01-31,582.9529393465436
1966-02-28,620.3941624088495
1966-03-31,655.7987566167438
1966-04-30,664.3564886204898
1966-05-31,723.4097879042055
1966-06-30,803.5934865308134
1966-07-31,788.1573212449462
1966-08-31,690.0708580017496
1966-09-30,640.6278014829262
1966-10-31,574.1562858941262
1966-11-30,626.7567041806568
1966-12-31,638.4111868368517
1967-01-31,614.0918265223404
1967-02-28,651.5330495846463
1967-03-31,686.9376437925406
1967-04-30,695.4953757962866
1967-05-31,754.5486750800022
1967-06-30,834.7323737066101
1967-07-31,819.2962084207429
1967-08-31,721.2097451775463
1967-09-30,671.766688658723
1967-10-31,605.295173069923
1967-11-30,657.8955913564536
1967-12-31,669.5500740126485
1968-01-31,645.2307136981372
1968-02-29,682.671936760443
1968-03-31,718.0765309683374
1968-04-30,726.6342629720833
1968-05-31,785.687562255799
1968-06-30,865.8712608824069
1968-07-31,850.4350955965397
1968-08-31,752.3486323533431
1968-09-30,702.9055758345197
1968-10-31,636.4340602457197
1968-11-30,689.0344785322503
1968-12-31,700.6889611884452
1969-01-31,676.3696008739339
1969-02-28,713.8108239362398
1969-03-31,749.2154181441341
1969-04-30,757.7731501478801
